Вакансия;Ссылка;Компания;Зарплата;Станция метро
Тестировщик мобильных приложений;https://spb.hh.ru/vacancy/36215097?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; RU-CENTER Group ;Тестировщик мобильных приложений;Технологический институт
Manual QA Engineer;https://spb.hh.ru/vacancy/36741443?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Arrival Robotics ;Manual QA Engineer;Петроградская
Инженер по тестированию / Software Tester;https://spb.hh.ru/vacancy/36865278?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Доктор Веб ;Инженер по тестированию / Software Tester;Горьковская
QA Engineer (Mobile);https://spb.hh.ru/vacancy/36817962?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; iGooods ;QA Engineer (Mobile);Не указано
QA инженер;https://spb.hh.ru/vacancy/36756657?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Karuna ;QA инженер;Чкаловская
Инженер по тестированию/ QA Engineer;https://spb.hh.ru/vacancy/34364747?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Триколор ;Инженер по тестированию/ QA Engineer;Петроградская
QA Engineer;https://spb.hh.ru/vacancy/36814449?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО i-Digital ;QA Engineer;Чкаловская
QA Engineer;https://spb.hh.ru/vacancy/36609008?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; B2Broker Санкт-Петербург ;QA Engineer;Петроградская
Специалист по тестированию ПО;https://spb.hh.ru/vacancy/36601100?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Citeck ;Специалист по тестированию ПО;Не указано
Специалист по тестированию;https://spb.hh.ru/vacancy/36858074?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; СКБ Контур ;Специалист по тестированию;Не указано
Инженер по тестированию Android-приложений;https://spb.hh.ru/vacancy/33948425?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ВКонтакте ;Инженер по тестированию Android-приложений;Невский проспект
Специалист по тестированию сайтов;https://spb.hh.ru/vacancy/36751409?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Колибри ;Специалист по тестированию сайтов;Горьковская
Тестировщик/QA Инженер (автоматизированное тестирование);https://spb.hh.ru/vacancy/36858687?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Центральный банк Российской Федерации ;Тестировщик/QA Инженер (автоматизированное тестирование);Не указано
QA Engineer/Тестировщик;https://spb.hh.ru/vacancy/36728120?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;АО АВАНТ ;QA Engineer/Тестировщик;Московская
Инженер по тестированию веб-приложений;https://spb.hh.ru/vacancy/34539228?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ВКонтакте ;Инженер по тестированию веб-приложений;Не указано
QA Engineer (Manual);https://spb.hh.ru/vacancy/36831625?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Devim ;QA Engineer (Manual);Беговая
QA Automation / Специалист по автоматизированному тестированию;https://spb.hh.ru/vacancy/36873003?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Fortis ;QA Automation / Специалист по автоматизированному тестированию;Звёздная
Middle QA Engineer (Gamedev mobile);https://spb.hh.ru/vacancy/36822189?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Starkit Studio ;Middle QA Engineer (Gamedev mobile);Площадь Александра Невского 1
Тестировщик (нагрузочное тестирование);https://spb.hh.ru/vacancy/36865745?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;АО Сбербанк - Технологии ;Тестировщик (нагрузочное тестирование);Не указано
Тестировщик (нагрузочное тестирование);https://spb.hh.ru/vacancy/36881448?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Сбербанк для экспертов ;Тестировщик (нагрузочное тестирование);Не указано
Тестировщик ПО/ИТ специалист;https://spb.hh.ru/vacancy/36795047?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Креативное Агентство BORODA ;Тестировщик ПО/ИТ специалист;Не указано
Senior Mobile QA Engineer;https://spb.hh.ru/vacancy/36795684?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Voir ;Senior Mobile QA Engineer;Не указано
Специалист по автоматизированному тестированию (QA Engineer);https://spb.hh.ru/vacancy/36892260?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; КОРУС Консалтинг СНГ ;Специалист по автоматизированному тестированию (QA Engineer);Не указано
Инженер по тестированию мобильных приложений;https://spb.hh.ru/vacancy/33948493?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ВКонтакте ;Инженер по тестированию мобильных приложений;Невский проспект
Manual QA engineer;https://spb.hh.ru/vacancy/36880548?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Сбербанк для экспертов ;Manual QA engineer;Не указано
Тестировщик;https://spb.hh.ru/vacancy/36802755?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Сбербанк для экспертов ;Тестировщик;Не указано
