Вакансия;Ссылка;Компания;Зарплата;Станция метро
QA Engineer. Website;https://spb.hh.ru/vacancy/32881404?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Wrike ;QA Engineer. Website;Площадь Ленина
Инженер по нагрузочному тестированию;https://spb.hh.ru/vacancy/36877481?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ПАО Промсвязьбанк ;Инженер по нагрузочному тестированию;Удельная
Android-разработчик;https://spb.hh.ru/vacancy/36806004?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Омега ;Android-разработчик;Площадь Александра Невского 1
QA Engineer;https://spb.hh.ru/vacancy/36876033?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Wisebits ;QA Engineer;Не указано
Аналитик;https://spb.hh.ru/vacancy/36887777?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Лига Цифровой Экономики ;Аналитик;Не указано
QA Automation Specialist;https://spb.hh.ru/vacancy/36877609?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; IBS ;QA Automation Specialist;Не указано
QA engineer (GUS МегаФон);https://spb.hh.ru/vacancy/36889745?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Nexign (АО «Нэксайн») ;QA engineer (GUS МегаФон);Не указано
Penetration Tester (OTC);https://spb.hh.ru/vacancy/36888076?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; T-Systems RUS ;Penetration Tester (OTC);Не указано
Тестировщик печатных плат;https://spb.hh.ru/vacancy/36803597?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; СтарЛайн, Научно-производственное объединение ;Тестировщик печатных плат;Площадь Ленина
QA engineer;https://spb.hh.ru/vacancy/36881500?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Сбербанк для экспертов ;QA engineer;Не указано
QA Automation Engineer;https://spb.hh.ru/vacancy/36519747?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Wrike ;QA Automation Engineer;Площадь Ленина
Тестировщик печатных плат;https://spb.hh.ru/vacancy/36663730?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; СтарЛайн, Научно-производственное объединение ;Тестировщик печатных плат;Не указано
Разработчик PostgreSQL;https://spb.hh.ru/vacancy/36890159?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Галактика ;Разработчик PostgreSQL;Не указано
Разработчик Android;https://spb.hh.ru/vacancy/36205103?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Метр Квадратный ;Разработчик Android;Петроградская
Мастер по ремонту телевизоров в Сервисный центр (Телемастер);https://spb.hh.ru/vacancy/36628463?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Гарант ;Мастер по ремонту телевизоров в Сервисный центр (Телемастер);Не указано
QA Engineer (Internal team);https://spb.hh.ru/vacancy/33257590?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; iGooods ;QA Engineer (Internal team);Технологический институт
Менеджер по продуктам;https://spb.hh.ru/vacancy/36680230?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Яндекс.Деньги, НКО ;Менеджер по продуктам;Не указано
QA Engineer (Fullstack);https://spb.hh.ru/vacancy/36874561?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Wrike ;QA Engineer (Fullstack);Площадь Ленина
Системный аналитик;https://spb.hh.ru/vacancy/36616419?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ПАО «Газпром нефть» ;Системный аналитик;Площадь Восстания
QA Engineer;https://spb.hh.ru/vacancy/36613320?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Itiviti (Айтивити) ;QA Engineer;Адмиралтейская
QA Engineer (Mobile);https://spb.hh.ru/vacancy/34386019?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; FBS Inc. ;QA Engineer (Mobile);Не указано
Qa engineer;https://spb.hh.ru/vacancy/36775621?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Электронная торговая площадка Газпромбанка ;Qa engineer;Не указано
C# /.NET fullstack-разработчик;https://spb.hh.ru/vacancy/36640999?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Лента, федеральная розничная сеть, IT  ;C# /.NET fullstack-разработчик;Беговая
Инженер по тестированию / Software Tester (Unix);https://spb.hh.ru/vacancy/36865271?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Доктор Веб ;Инженер по тестированию / Software Tester (Unix);Горьковская
Старший инженер по тестированию / Senior Software Tester;https://spb.hh.ru/vacancy/36865283?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Доктор Веб ;Старший инженер по тестированию / Senior Software Tester;Горьковская
Специалист по тестированию антивируса;https://spb.hh.ru/vacancy/36855491?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Код Безопасности ;Специалист по тестированию антивируса;Площадь Ленина
Middle / Senior QA Engineer;https://spb.hh.ru/vacancy/36424182?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО ТаймВэб ;Middle / Senior QA Engineer;Московские ворота
Инженер по автоматизации тестирования (Android, Espresso/Java);https://spb.hh.ru/vacancy/29979549?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ВКонтакте ;Инженер по автоматизации тестирования (Android, Espresso/Java);Невский проспект
Тестировщик (г. Пушкин);https://spb.hh.ru/vacancy/36601882?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;АО Почтовые технологии ;Тестировщик (г. Пушкин);Не указано
QA Engineer [id43461];https://spb.hh.ru/vacancy/36865042?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ПАО «Газпром нефть» ;QA Engineer [id43461];Не указано
Senior QA Engineer (Telco);https://spb.hh.ru/vacancy/35440788?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;Senior QA Engineer (Telco);Нарвская
Ведущий инженер по тестированию/Senior QA Engineer;https://spb.hh.ru/vacancy/30830128?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Триколор ;Ведущий инженер по тестированию/Senior QA Engineer;Петроградская
QA engineer;https://spb.hh.ru/vacancy/36601777?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Nexign (АО «Нэксайн») ;QA engineer;Василеостровская
QA Engineer (Space);https://spb.hh.ru/vacancy/26473750?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JetBrains ;QA Engineer (Space);Новокрестовская
QA Engineer (CLion);https://spb.hh.ru/vacancy/34933505?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JetBrains ;QA Engineer (CLion);Новокрестовская
QA Fullstack Engineer;https://spb.hh.ru/vacancy/35885328?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Wrike ;QA Fullstack Engineer;Площадь Ленина
Senior QA Engineer (международная IT компания);https://spb.hh.ru/vacancy/35417705?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; AVRIO Group Consulting ;Senior QA Engineer (международная IT компания);Не указано
QA Engineer (IoT);https://spb.hh.ru/vacancy/36610307?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; GS Group. GS Labs ;QA Engineer (IoT);Не указано
QA Engineer (Media Services);https://spb.hh.ru/vacancy/34742575?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;QA Engineer (Media Services);Елизаровская
QA engineer;https://spb.hh.ru/vacancy/35067838?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Дневник.ру ;QA engineer;Не указано
QA engineer (LCM);https://spb.hh.ru/vacancy/36755425?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Nexign (АО «Нэксайн») ;QA engineer (LCM);Не указано
QA Automation Team Lead (Big Data team);https://spb.hh.ru/vacancy/36766652?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;QA Automation Team Lead (Big Data team);Елизаровская
QA Engineer (Global Continious Integration);https://spb.hh.ru/vacancy/31617208?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;QA Engineer (Global Continious Integration);Елизаровская
Специалист по тестированию SDK;https://spb.hh.ru/vacancy/36032424?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Открытая Мобильная Платформа ;Специалист по тестированию SDK;Звенигородская
Automation Test Engineer;https://spb.hh.ru/vacancy/36850946?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Luxoft ;Automation Test Engineer;Не указано
Старший инженер по тестированию (UFM);https://spb.hh.ru/vacancy/34558474?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Nexign (АО «Нэксайн») ;Старший инженер по тестированию (UFM);Василеостровская
Ведущий инженер по тестированию;https://spb.hh.ru/vacancy/35719755?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Инфосистемы Джет ;Ведущий инженер по тестированию;Не указано
Senior Java Developer/Lead Java Developer;https://spb.hh.ru/vacancy/36864548?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Axiom Software Laboratories ;Senior Java Developer/Lead Java Developer;Не указано
QA Engineer (Platform);https://spb.hh.ru/vacancy/36169850?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;QA Engineer (Platform);Нарвская
QA engineer (CNC MF);https://spb.hh.ru/vacancy/36741804?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Nexign (АО «Нэксайн») ;QA engineer (CNC MF);Не указано
Бизнес-аналитик CJM;https://spb.hh.ru/vacancy/35614207?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Netcracker Technology Corp. ;Бизнес-аналитик CJM;Василеостровская
QA engineer;https://spb.hh.ru/vacancy/36804282?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Капитал ;QA engineer;Площадь Александра Невского 1
Старший/ведущий инженер по тестированию;https://spb.hh.ru/vacancy/35928583?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Инфосистемы Джет ;Старший/ведущий инженер по тестированию;Горьковская
System Analyst;https://spb.hh.ru/vacancy/36804887?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Капитал ;System Analyst;Площадь Александра Невского 1
Web-разработчик;https://spb.hh.ru/vacancy/36088010?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Единая электронная торговая площадка, АО (группа ВТБ) ;Web-разработчик;Не указано
Ведущий бизнес-аналитик (ecommerce);https://spb.hh.ru/vacancy/35924645?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; КОРУС Консалтинг ;Ведущий бизнес-аналитик (ecommerce);Старая Деревня
Senior QA;https://spb.hh.ru/vacancy/35965540?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; GS Group. GS Labs ;Senior QA;Выборгская
QA Engineer (с возможностью переезда в Прагу);https://spb.hh.ru/vacancy/36577961?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Veeam Software ;QA Engineer (с возможностью переезда в Прагу);Не указано
Senior QA Engineer (с возможностью переезда в Прагу);https://spb.hh.ru/vacancy/35379371?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Veeam Software ;Senior QA Engineer (с возможностью переезда в Прагу);Не указано
Разработчик (Support);https://spb.hh.ru/vacancy/36775583?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Электронная торговая площадка Газпромбанка ;Разработчик (Support);Не указано
Frontend-разработчик;https://spb.hh.ru/vacancy/36860090?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; goods ;Frontend-разработчик;Не указано
Senior Kotlin Software Developer;https://spb.hh.ru/vacancy/36863897?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JetBrains ;Senior Kotlin Software Developer;Не указано
Бизнес-аналитик (Сортмастер);https://spb.hh.ru/vacancy/36601909?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;АО Почтовые технологии ;Бизнес-аналитик (Сортмастер);Сенная площадь
Scala Team Lead (RCV);https://spb.hh.ru/vacancy/35267208?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;Scala Team Lead (RCV);Елизаровская
Big Data Engineer (Teradata);https://spb.hh.ru/vacancy/36589788?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Grid Dynamics ;Big Data Engineer (Teradata);Горьковская
QA Engineer (audio&video conferences);https://spb.hh.ru/vacancy/36844183?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;QA Engineer (audio&video conferences);Елизаровская
Embedded QA;https://spb.hh.ru/vacancy/36113078?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Открытая Мобильная Платформа ;Embedded QA;Звенигородская
QA Automation Engineer (audio&video conferences);https://spb.hh.ru/vacancy/36844161?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;QA Automation Engineer (audio&video conferences);Елизаровская
Консультант Hybris;https://spb.hh.ru/vacancy/36856992?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Лента, федеральная розничная сеть, IT  ;Консультант Hybris;Не указано
Руководитель отдела программистов/Team Lead (С++);https://spb.hh.ru/vacancy/34978201?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета) ;Руководитель отдела программистов/Team Lead (С++);Площадь Мужества
Специалист отдела поддержки процессинга;https://spb.hh.ru/vacancy/36717058?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Яндекс.Деньги, НКО ;Специалист отдела поддержки процессинга;Не указано
Middle/senior C# разработчик;https://spb.hh.ru/vacancy/36858153?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; СКБ Контур ;Middle/senior C# разработчик;Не указано
IOS-разработчик / iOS-Developer;https://spb.hh.ru/vacancy/36782713?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; BitRewards ;IOS-разработчик / iOS-Developer;Не указано
IT Process Analyst (Production, Track & Trace infrastructure);https://spb.hh.ru/vacancy/34166457?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JTI ;IT Process Analyst (Production, Track & Trace infrastructure);Не указано
Android Developer;https://spb.hh.ru/vacancy/36753644?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Платформа нативной рекламы LuckyAds ;Android Developer;Не указано
QA Engineer (Kotlin);https://spb.hh.ru/vacancy/33522066?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JetBrains ;QA Engineer (Kotlin);Новокрестовская
QA Engineer (Rider);https://spb.hh.ru/vacancy/34793209?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JetBrains ;QA Engineer (Rider);Новокрестовская
QA Engineer (Rider/ReSharper С++);https://spb.hh.ru/vacancy/33692102?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JetBrains ;QA Engineer (Rider/ReSharper С++);Новокрестовская
Android-разработчик / Android-developer;https://spb.hh.ru/vacancy/36782728?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; BitRewards ;Android-разработчик / Android-developer;Не указано
QA Engineer (Profilers team);https://spb.hh.ru/vacancy/34891002?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JetBrains ;QA Engineer (Profilers team);Новокрестовская
QA Engineer (Feature team);https://spb.hh.ru/vacancy/36844179?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;QA Engineer (Feature team);Елизаровская
Руководитель подразделения продаж;https://spb.hh.ru/vacancy/36818680?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Правовед.RU ;Руководитель подразделения продаж;Не указано
QA Engineer (Salesforce);https://spb.hh.ru/vacancy/36844181?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;QA Engineer (Salesforce);Нарвская
Тестировщик;https://spb.hh.ru/vacancy/36831607?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Luxoft ;Тестировщик;Не указано
QA Engineer (WebTeam);https://spb.hh.ru/vacancy/36097734?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JetBrains ;QA Engineer (WebTeam);Новокрестовская
QA Engineer (IntelliJ IDEA);https://spb.hh.ru/vacancy/33488505?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JetBrains ;QA Engineer (IntelliJ IDEA);Новокрестовская
Trainee Tester (with English and German);https://spb.hh.ru/vacancy/36588072?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; T-Systems RUS ;Trainee Tester (with English and German);Василеостровская
DB Administrator (DBA);https://spb.hh.ru/vacancy/36848693?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Grid Dynamics ;DB Administrator (DBA);Не указано
Android developer;https://spb.hh.ru/vacancy/36476775?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; AdCombo.com ;Android developer;Не указано
QA engineer;https://spb.hh.ru/vacancy/36448120?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Playneta ;QA engineer;Чкаловская
Android-разработчик (Команда электронной коммерции);https://spb.hh.ru/vacancy/36698231?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ВКонтакте ;Android-разработчик (Команда электронной коммерции);Не указано
Back End Engineer (Python) for QuantumSoft Office in Saint Petersburg;https://spb.hh.ru/vacancy/36780247?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; КвантумСофт ;Back End Engineer (Python) for QuantumSoft Office in Saint Petersburg;Не указано
QA Engineer;https://spb.hh.ru/vacancy/36811705?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Сити лайф ;QA Engineer;Ладожская
QA Engineer удаленно (ручное тестирование, CI/CD);https://spb.hh.ru/vacancy/36808101?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; AWG ;QA Engineer удаленно (ручное тестирование, CI/CD);Не указано
Senior QA Engineer;https://spb.hh.ru/vacancy/35401288?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Наука ;Senior QA Engineer;Политехническая
QA Engineer (Automation);https://spb.hh.ru/vacancy/36815834?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Devim ;QA Engineer (Automation);Беговая
QA Lead (Automation);https://spb.hh.ru/vacancy/36815645?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Devim ;QA Lead (Automation);Беговая
QA Automation engineer;https://spb.hh.ru/vacancy/34793931?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Сити лайф ;QA Automation engineer;Ладожская
Специалист по тестированию;https://spb.hh.ru/vacancy/36803671?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Лига Цифровой Экономики ;Специалист по тестированию;Не указано
Senior QA Engineer/ QA Lead;https://spb.hh.ru/vacancy/34975309?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Broadridge ;Senior QA Engineer/ QA Lead;Чкаловская
Senior Unity Developer (gamedev, -удаленно/офис);https://spb.hh.ru/vacancy/36820798?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО ДиджиРеал ;Senior Unity Developer (gamedev, -удаленно/офис);Не указано
QA engineer (web);https://spb.hh.ru/vacancy/36806385?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ПАО Банк Санкт-Петербург ;QA engineer (web);Не указано
E2E Test Engineer;https://spb.hh.ru/vacancy/34255519?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ARRIVAL LTD ;E2E Test Engineer;Не указано
Senior QA Engineer;https://spb.hh.ru/vacancy/36817876?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Luxoft ;Senior QA Engineer;Не указано
Администратор баз данных 1С/ Системный аналитик 1С;https://spb.hh.ru/vacancy/36817031?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Ландскрона ;Администратор баз данных 1С/ Системный аналитик 1С;Не указано
QA Engineer Manual (Middle);https://spb.hh.ru/vacancy/36808228?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; QuadCode ;QA Engineer Manual (Middle);Не указано
QA engineer;https://spb.hh.ru/vacancy/36806727?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ПАО Банк Санкт-Петербург ;QA engineer;Не указано
QA Engineer;https://spb.hh.ru/vacancy/36478481?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; CSI (Кристалл Сервис Интеграция) ;QA Engineer;Не указано
